Player,Pos,Tm,2P,0-3,3-10,10-16,16-3P,3P,3Corner,G,FG%,Dist.
Jonas Valanciunas,C,NOP,0.577,0.725,0.494,0.44,0.313,0.349,0.2,79,0.547,8.1
Jarred Vanderbilt,PF,TOT,0.604,0.718,0.449,0.214,0.75,0.322,0.354,78,0.548,7.7
Jarred Vanderbilt,PF,UTA,0.606,0.755,0.444,0.231,0.667,0.333,0.373,52,0.556,7.8
Jarred Vanderbilt,PF,LAL,0.598,0.649,0.464,0,1,0.303,0.321,26,0.529,7.4
Fred VanVleet,PG,TOR,0.455,0.586,0.375,0.398,0.455,0.342,0.431,69,0.393,18.4
Devin Vassell,SG,SAS,0.48,0.643,0.333,0.41,0.489,0.387,0.477,38,0.439,17.6
Gabe Vincent,PG,MIA,0.512,0.547,0.462,0.44,0.657,0.334,0.381,68,0.402,18.7
Noah Vonleh,C,BOS,0.5,0.727,0.143,0.5,,0.25,0.333,23,0.458,6.8
Nikola Vucevic,C,CHI,0.594,0.704,0.601,0.462,0.456,0.349,0.465,82,0.52,12.8
Dean Wade,PF,CLE,0.56,0.759,0.364,0.25,0,0.354,0.404,44,0.412,19
Franz Wagner,SF,ORL,0.544,0.728,0.42,0.414,0.447,0.361,0.435,80,0.485,12
Moritz Wagner,C,ORL,0.631,0.733,0.453,0.333,0.4,0.313,0.31,57,0.5,12.2
Ish Wainright,SF,PHX,0.5,0.529,0.471,0.5,0,0.329,0.337,60,0.37,19.8
Jabari Walker,SF,POR,0.472,0.6,0.256,0.357,0.444,0.286,0.154,56,0.419,10.5
Kemba Walker,PG,DAL,0.586,0.583,0.571,0.6,0.6,0.25,0,9,0.421,16.5
Lonnie Walker IV,SG,LAL,0.522,0.699,0.404,0.345,0.489,0.365,0.412,56,0.448,15.7
John Wall,PG,LAC,0.459,0.597,0.466,0.37,0.316,0.303,0.273,34,0.408,14.5
T.J. Warren,PF-SF,TOT,0.542,0.714,0.471,0.484,0.586,0.328,0.296,42,0.489,13
T.J. Warren,PF,BKN,0.566,0.833,0.44,0.529,0.571,0.333,0.235,26,0.51,12.9
T.J. Warren,SF,PHX,0.471,0.417,0.556,0.308,0.625,0.316,0.4,16,0.429,13.3
Duane Washington Jr.,SG,PHX,0.372,0.467,0.333,0.353,0.367,0.36,0.333,31,0.367,16.8
P.J. Washington,PF,CHA,0.518,0.691,0.451,0.424,0.317,0.348,0.351,73,0.444,14.8
TyTy Washington Jr.,PG,HOU,0.488,0.444,0.5,0.517,0.375,0.238,0.316,31,0.363,17.5
Yuta Watanabe,SF,BKN,0.557,0.769,0.281,0.25,0.444,0.444,0.514,58,0.491,16.4
Lindy Waters III,SG,OKC,0.75,0.727,0.5,1,1,0.358,0.5,41,0.393,23.8
Trendon Watford,PF,POR,0.602,0.676,0.545,0.462,0.5,0.391,0.25,62,0.56,8.8
Peyton Watson,SG,DEN,0.511,0.722,0.348,0.5,,0.429,0.5,23,0.492,9.3
Blake Wesley,SG,SAS,0.301,0.517,0.14,0.222,0.192,0.385,0.5,37,0.321,11.8
Russell Westbrook,PG,TOT,0.487,0.632,0.379,0.461,0.257,0.311,0.231,73,0.436,11.8
Russell Westbrook,PG,LAL,0.467,0.624,0.333,0.414,0.288,0.296,0.243,52,0.417,11.7
Russell Westbrook,PG,LAC,0.54,0.658,0.508,0.563,0.182,0.356,0.214,21,0.489,11.8
Coby White,SG,CHI,0.54,0.672,0.386,0.465,0.419,0.372,0.412,74,0.443,17.8
Derrick White,SG,BOS,0.548,0.72,0.469,0.517,0.333,0.381,0.387,82,0.462,15.9
Jack White,SF,DEN,0.5,0.5,0.5,,,0.333,0.333,17,0.421,12.8
Joe Wieskamp,SF,TOR,0,0,,,,0.25,0.286,9,0.214,20.9
Aaron Wiggins,SG,OKC,0.573,0.705,0.396,0.4,0,0.393,0.286,70,0.512,10.6
Andrew Wiggins,SF,GSW,0.53,0.711,0.504,0.378,0.418,0.396,0.356,37,0.473,15.4
Lindell Wigginton,PG,MIL,0.632,0.857,0.429,0.5,0.667,0.333,0.5,7,0.486,16.1
Alondes Williams,SG,BKN,,,,,,,,1,,
Donovan Williams,SG,ATL,0.667,1,0.5,,,0,0,2,0.4,12.1
Grant Williams,PF,BOS,0.546,0.738,0.468,0.364,0.333,0.395,0.421,79,0.454,17.2
Jalen Williams,SG,OKC,0.579,0.726,0.436,0.448,0.351,0.356,0.367,75,0.521,10.4
Jaylin Williams,C,OKC,0.463,0.667,0.2,0.32,0.688,0.407,0.556,49,0.436,16.2
Jeenathan Williams,SG,POR,0.677,0.792,0.333,,0,0.375,0.5,5,0.615,7.2
Kenrich Williams,PF,OKC,0.608,0.718,0.51,0.452,0.5,0.373,0.413,53,0.517,13.4
Mark Williams,C,CHA,0.637,0.751,0.388,0.417,0.667,,,43,0.637,3.1
Patrick Williams,PF,CHI,0.498,0.64,0.316,0.432,0.412,0.415,0.463,82,0.464,14.6
Robert Williams,C,BOS,0.751,0.879,0.489,0.5,0,0,0,35,0.747,3
Vince Williams Jr.,SG,MEM,0.667,0.7,0.5,,,0.143,0.091,15,0.3,17.8
Ziaire Williams,SF,MEM,0.596,0.776,0.381,0.5,0.333,0.258,0.286,37,0.429,15.6
Zion Williamson,PF,NOP,0.618,0.721,0.438,0.5,0,0.368,,29,0.608,4.1
Dylan Windler,SF,CLE,1,1,,,,0.5,1,3,0.667,17.4
Justise Winslow,PF,POR,0.438,0.551,0.386,0.286,0.167,0.311,0.3,29,0.409,9.8
James Wiseman,C,TOT,0.58,0.742,0.536,0.31,0.263,0.2,0,45,0.558,6.4
James Wiseman,C,GSW,0.63,0.795,0.629,0.25,0.333,0.5,,21,0.628,5.9
James Wiseman,C,DET,0.559,0.718,0.505,0.353,0.231,0.167,0,24,0.531,6.6
Christian Wood,C,DAL,0.594,0.697,0.569,0.417,0.354,0.376,0.326,67,0.515,12.8
Delon Wright,PG,WAS,0.564,0.842,0.391,0.444,0.7,0.345,0.345,50,0.474,14.4
McKinley Wright IV,PG,DAL,0.529,0.591,0.615,0.4,0.286,0.321,0.286,27,0.469,12.7
Gabe York,SG,IND,0.667,0.667,,,,0.333,0.6,3,0.381,22
Thaddeus Young,PF,TOR,0.622,0.806,0.494,0.25,0.667,0.176,0.208,54,0.545,7.9
Trae Young,PG,ATL,0.476,0.546,0.426,0.527,0.409,0.335,0.304,73,0.429,14.9
Omer Yurtseven,C,MIA,0.65,0.667,0.667,0.5,,0.429,0.5,9,0.593,10.3
Cody Zeller,C,MIA,0.649,0.735,0.571,1,0,0,0,15,0.627,4.4
Ivica Zubac,C,LAC,0.637,0.702,0.546,0.455,0.5,0,,76,0.634,3.3
