Player,Pos,Tm,2P,0-3,3-10,10-16,16-3P,3P,3Corner,G,FG%,Dist.
Jordan McLaughlin,PG,MIN,0.552,0.708,0.457,0.4,0.667,0.308,0.391,43,0.421,16.7
De'Anthony Melton,SG,PHI,0.484,0.622,0.329,0.292,0.529,0.39,0.371,77,0.425,17.8
Sam Merrill,SG,CLE,1,1,1,,1,0.278,0,5,0.409,22.3
Chimezie Metu,PF,SAC,0.663,0.804,0.483,0.25,0.667,0.237,0,66,0.589,7.5
Khris Middleton,SF,MIL,0.516,0.644,0.548,0.423,0.491,0.315,0.391,33,0.436,16.4
Patty Mills,PG,BKN,0.493,0.769,0.5,0.25,0.5,0.366,0.382,40,0.411,20.9
Shake Milton,SG,PHI,0.521,0.685,0.393,0.4,0.5,0.378,0.297,76,0.479,11.6
Justin Minaya,SF,POR,0.364,0.6,0,0.333,0,0.25,0,4,0.304,16.4
Josh Minott,SF,MIN,0.533,0.714,0.4,0,,0.333,0.333,15,0.5,6.6
Davion Mitchell,PG,SAC,0.584,0.699,0.569,0.318,0.5,0.32,0.316,80,0.454,16.1
Donovan Mitchell,SG,CLE,0.566,0.7,0.524,0.486,0.431,0.386,0.382,68,0.484,16
Evan Mobley,PF,CLE,0.595,0.817,0.409,0.362,0.455,0.216,0.2,79,0.554,7.2
Isaiah Mobley,PF,CLE,0.45,0.5,0.4,1,0,0.375,1,12,0.429,11.1
Chima Moneke,SF,SAC,0.5,0.5,,,,,,2,0.5,2.2
Malik Monk,SG,SAC,0.538,0.698,0.418,0.333,0.519,0.359,0.433,77,0.448,15.7
Moses Moody,SG,GSW,0.641,0.725,0.5,0.429,1,0.363,0.34,63,0.476,17.1
Xavier Moon,SG,LAC,0.333,,1,0,0.333,0.333,0,4,0.333,18.1
Wendell Moore Jr.,SG,MIN,0.615,0.778,0.4,0,0,0.118,0.143,29,0.419,11.8
Ja Morant,PG,MEM,0.519,0.652,0.419,0.463,0.467,0.307,0.433,61,0.466,11.1
Marcus Morris Sr.,PF,LAC,0.484,0.711,0.5,0.414,0.453,0.364,0.31,65,0.426,18.2
Markieff Morris,PF,TOT,0.432,0.571,0.2,0.556,0.333,0.394,0.409,35,0.409,19.7
Markieff Morris,PF,BKN,0.394,0.5,0.2,0.462,0.5,0.408,0.444,27,0.402,18.9
Markieff Morris,PF,DAL,0.545,1,,0.8,0.2,0.364,0.25,8,0.424,21.8
Monte Morris,PG,WAS,0.543,0.754,0.509,0.493,0.464,0.382,0.4,62,0.48,16.2
Trey Murphy III,SF,NOP,0.611,0.758,0.495,0.188,0.333,0.406,0.424,79,0.484,17.7
Dejounte Murray,SG,ATL,0.514,0.697,0.431,0.455,0.486,0.344,0.442,74,0.464,14.3
Jamal Murray,PG,DEN,0.494,0.667,0.44,0.46,0.399,0.398,0.5,65,0.454,16.2
Keegan Murray,SF,SAC,0.527,0.671,0.349,0.455,0.333,0.411,0.439,80,0.453,17.8
Mike Muscala,C,TOT,0.588,0.63,0.667,0.5,0.5,0.391,0.417,63,0.449,20.2
Mike Muscala,C,OKC,0.541,0.667,0.4,0.526,0.455,0.394,0.385,43,0.438,20.7
Mike Muscala,C,BOS,0.708,0.5,0.909,0.4,1,0.385,0.455,20,0.472,18.9
Svi Mykhailiuk,SF,TOT,0.473,0.667,0.167,0.455,0.333,0.424,0.429,32,0.445,17.2
Svi Mykhailiuk,SF,NYK,0,,0,,,0.6,0.667,13,0.5,22
Svi Mykhailiuk,SF,CHA,0.486,0.667,0.188,0.455,0.333,0.404,0.406,19,0.441,16.8
Larry Nance Jr.,C,NOP,0.654,0.769,0.551,0.389,0.333,0.333,0.417,65,0.61,6.9
Andrew Nembhard,SG,IND,0.504,0.716,0.436,0.376,0.455,0.35,0.357,75,0.441,15.3
Aaron Nesmith,SF,IND,0.496,0.639,0.263,0.486,0.333,0.366,0.383,73,0.427,15.5
Raul Neto,PG,CLE,0.662,0.711,0.471,1,0.25,0.286,0.625,48,0.518,13.2
Georges Niang,PF,PHI,0.576,0.681,0.536,0.333,0.5,0.401,0.534,78,0.442,20.7
Daishen Nix,PG,HOU,0.423,0.489,0.37,1,0.2,0.286,0.238,57,0.342,17.4
Zeke Nnaji,PF,DEN,0.71,0.794,0.407,,0.5,0.262,0.25,53,0.561,9.9
Nerlens Noel,C,TOT,0.353,0.444,0.222,0.364,0.4,0.5,,17,0.361,9.8
Nerlens Noel,C,DET,0.393,0.5,0.333,0.333,0.4,0.5,,14,0.4,10.1
Nerlens Noel,C,BKN,0.167,0,0,0.5,,,,3,0.167,8.1
Jaylen Nowell,SG,MIN,0.542,0.662,0.429,0.536,0.368,0.289,0.222,65,0.448,13.5
Frank Ntilikina,SG,DAL,0.477,0.579,0.238,0.417,0.769,0.254,0.13,47,0.364,16.9
Kendrick Nunn,SG,TOT,0.493,0.667,0.395,0.474,0.469,0.354,0.333,70,0.424,17
Kendrick Nunn,SG,LAL,0.488,0.667,0.444,0.4,0.412,0.325,0.333,39,0.406,16.8
Kendrick Nunn,SG,WAS,0.5,0.667,0.333,0.556,0.533,0.392,0.333,31,0.447,17.2
Jusuf Nurkic,C,POR,0.567,0.645,0.447,0.556,0.5,0.361,0.333,52,0.519,8.6
Jordan Nwora,SF,TOT,0.462,0.574,0.413,0.364,0.233,0.408,0.39,62,0.436,15.2
Jordan Nwora,SF,MIL,0.379,0.526,0.4,0.154,0.211,0.392,0.333,38,0.386,17
Jordan Nwora,SF,IND,0.518,0.603,0.421,0.5,0.273,0.422,0.429,24,0.476,13.7
Royce O'Neale,SF,BKN,0.379,0.489,0.271,0.222,0,0.389,0.349,76,0.386,19.6
Chuma Okeke,SF,ORL,0.472,0.7,0.143,0.167,0.333,0.302,0.471,27,0.352,19.6
Josh Okogie,SG,PHX,0.442,0.56,0.297,0.286,0.375,0.335,0.319,72,0.391,14.4
Onyeka Okongwu,C,ATL,0.647,0.764,0.448,0.56,0.405,0.308,0.4,80,0.638,4.6
Isaac Okoro,SF,CLE,0.617,0.687,0.413,1,0,0.363,0.38,76,0.494,12.5
KZ Okpala,PF,SAC,0.529,0.833,0.333,0,1,0.333,0.455,35,0.421,16
Victor Oladipo,SG,MIA,0.471,0.534,0.492,0.326,0.545,0.33,0.158,42,0.397,16.7
Kelly Olynyk,C,UTA,0.576,0.702,0.544,0.296,0.429,0.394,0.438,68,0.499,14.5
Eugene Omoruyi,SF,TOT,0.547,0.707,0.244,0.333,0,0.281,0.333,40,0.443,11.7
Eugene Omoruyi,SF,OKC,0.571,0.681,0.286,0,0,0.258,0.353,23,0.468,9.6
Eugene Omoruyi,SF,DET,0.526,0.733,0.222,0.5,0,0.293,0.32,17,0.425,13.1
Cedi Osman,SF,CLE,0.564,0.732,0.226,0.538,0,0.372,0.43,77,0.451,16.7
Kelly Oubre Jr.,SF,CHA,0.51,0.66,0.361,0.447,0.483,0.319,0.41,48,0.431,13.8
Chris Paul,PG,PHX,0.482,0.588,0.447,0.485,0.485,0.375,0.421,59,0.44,18
Cameron Payne,PG,PHX,0.448,0.607,0.388,0.439,0.4,0.368,0.333,48,0.415,15.8
Gary Payton II,SG,TOT,0.651,0.677,0.636,0,,0.5,0.55,22,0.594,10.5
Gary Payton II,SG,POR,0.625,0.7,0.333,0,,0.529,0.583,15,0.585,11.2
Gary Payton II,SG,GSW,0.684,0.636,0.75,,,0.444,0.5,7,0.607,9.5
Theo Pinson,SG,DAL,0.36,0.364,0.364,0.5,0,0.355,0.556,40,0.356,19.6
Scotty Pippen Jr.,PG,LAL,0.333,0.5,0.5,0,0,0.333,0,6,0.333,11.8
Mason Plumlee,C,TOT,0.68,0.766,0.463,0.5,0.6,,,79,0.68,2.7
Mason Plumlee,C,CHA,0.669,0.764,0.43,0.533,0.6,,,56,0.669,2.8
